date,avg_sentiment,sentiment_std,message_count,avg_confidence,symbol
2025-12-26,0.7329001136116371,,1,0.8421160662978887,LOFC.N0000
2025-12-23,-0.022381846006940907,,1,0.8535457944214344,SAMP.N0000
2026-01-07,0.11821019758582114,,1,1.0,SAMP.N0000
2026-01-09,0.6361058531155281,,1,0.8948323225498199,SAMP.N0000
2025-12-26,0.7329001136116371,,1,0.8421160662978887,COMB.X0000
2025-12-30,0.6875613766689191,,1,0.8700824900507926,COMB.X0000
2025-12-31,0.6521960280147384,,1,0.8867936224611009,COMB.X0000
2026-01-03,0.2863786294209957,,1,1.0,ACL.N0000
2026-01-06,0.19882531886339186,,1,1.0,CHL.X0000
2026-01-07,0.3524073484053812,,1,1.0,CHL.X0000
2026-01-02,-0.0019366447934977687,,1,0.8355925471037626,HAYL.N0000
2025-12-31,0.6521960280147384,,1,0.8867936224611009,PAP.N0000
2025-12-26,0.26957859044551846,,1,1.0,NAMU.N0000
2025-12-26,0.26957859044551846,,1,1.0,AINS.N0000
2025-12-23,-0.022381846006940907,,1,0.8535457944214344,VLL.X0000
2025-12-30,0.6205554044993719,,1,0.8694801907479763,GHLL.N0000
2025-12-31,0.6521960280147384,,1,0.8867936224611009,GHLL.N0000
2025-12-23,-0.002226276695728302,,1,1.0,EML.N0000
2025-12-26,-0.002226276695728302,,1,1.0,EML.N0000
2025-12-26,0.7329001136116371,,1,0.8421160662978887,CCS.N0000
2025-12-30,0.6540583905841455,0.04738037730108397,2,0.8697813403993845,DOCK.N0000
2026-01-09,0.6884638838877501,,1,0.858942311533281,DOCK.N0000
2025-12-26,0.06767252423858641,0.22887295465964805,5,0.9956741255950927,NDB.N0000
2025-12-27,0.4098289028692246,,1,1.0,NDB.N0000
2026-01-06,0.23935484217116876,0.2490477601986269,4,0.9699305836796761,NDB.N0000
2025-12-26,0.7329001136116371,,1,0.8421160662978887,SUN.N0000
2025-12-30,0.6875613766689191,,1,0.8700824900507926,SUN.N0000
2025-12-22,0.3379908906136704,,1,1.0,SLTL.N0000
2026-01-06,0.6137365176805327,,1,0.8627906007409095,SLTL.N0000
2026-01-07,0.17243730651650657,0.43842028269860994,3,0.813074455020825,SLTL.N0000
2026-01-08,0.0050815574824810035,,1,1.0,SLTL.N0000
2026-01-02,-0.0019366447934977687,,1,0.8355925471037626,KPHL.N0000
2025-12-22,0.3379908906136704,,1,1.0,DFCC.N0000
2025-12-23,-0.022381846006940907,,1,0.8535457944214344,DFCC.N0000
2026-01-06,0.0716046327991145,,1,1.0,DFCC.N0000
2026-01-07,0.15499790470838548,0.168777567101185,2,0.9041780504703522,DFCC.N0000
2026-01-08,0.3001626584899425,,1,0.6636058105468751,DFCC.N0000
2026-01-08,0.26418830066402754,,1,1.0,ASCO.N0000
2026-01-09,0.6622848685016391,0.03702271860861211,2,0.8768873170415505,ASCO.N0000
2026-01-06,-0.07208587541165466,,1,0.8644406939327717,TAFL.N0000
2025-12-24,0.724937803871412,,1,0.583380327963829,AEL.N0000
2025-12-26,0.7329001136116371,,1,0.8421160662978887,AEL.N0000
2025-12-26,0.013680480420589447,,1,1.0,RENU.N0000
2026-01-08,0.26418830066402754,,1,1.0,SHAW.N0000
2026-01-09,0.6622848685016391,0.03702271860861211,2,0.8768873170415505,SHAW.N0000
2026-01-02,-0.0019366447934977687,,1,0.8355925471037626,HARI.N0000
2025-12-23,-0.022381846006940907,,1,0.8535457944214344,VLL.N0000
2026-01-06,0.19882531886339186,,1,1.0,CHL.N0000
2026-01-07,0.3524073484053812,,1,1.0,CHL.N0000
2026-01-02,-0.0019366447934977687,,1,0.8355925471037626,MDL.N0000
2026-01-05,0.5491972561670047,,1,0.9236609872188816,SDF.N0000
2025-12-22,-0.24313887490662242,,1,1.0,ODEL.N0000
2026-01-05,0.5491972561670047,,1,0.9236609872188816,ODEL.N0000
2026-01-07,0.30537760893225663,,1,0.6762346336364746,ODEL.N0000
2026-01-09,0.6884638838877501,,1,0.858942311533281,ODEL.N0000
2025-12-26,0.7329001136116371,,1,0.8421160662978887,COMB.N0000
2025-12-30,0.6875613766689191,,1,0.8700824900507926,COMB.N0000
2025-12-31,0.6521960280147384,,1,0.8867936224611009,COMB.N0000
2026-01-06,0.6641628006439483,,1,0.8650646312594413,HASU.N0000
2025-12-23,-0.022381846006940907,,1,0.8535457944214344,SAMP.X0000
2026-01-07,0.11821019758582114,,1,1.0,SAMP.X0000
2026-01-09,0.6361058531155281,,1,0.8948323225498199,SAMP.X0000
2025-12-26,0.7329001136116371,,1,0.8421160662978887,LLUB.N0000
2026-01-07,0.3524073484053812,,1,1.0,LLUB.N0000
